"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 20:09:13 GMT 2023","Sun May 07 20:09:29 GMT 2023","16491","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
"broken","Sun May 07 20:08:33 GMT 2023","Sun May 07 20:08:55 GMT 2023","22843","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"broken","Sun May 07 20:09:10 GMT 2023","Sun May 07 20:09:46 GMT 2023","35523","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"passed","Sun May 07 20:10:17 GMT 2023","Sun May 07 20:10:35 GMT 2023","18043","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
