"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 20:09:09 GMT 2023","Sun May 07 20:09:26 GMT 2023","16540","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
"passed","Sun May 07 20:10:10 GMT 2023","Sun May 07 20:10:27 GMT 2023","17413","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
"broken","Sun May 07 20:09:08 GMT 2023","Sun May 07 20:09:40 GMT 2023","32447","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"broken","Sun May 07 20:08:29 GMT 2023","Sun May 07 20:08:52 GMT 2023","22669","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
