"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 07 19:53:55 GMT 2023","Sun May 07 19:54:19 GMT 2023","23792","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"passed","Sun May 07 19:55:27 GMT 2023","Sun May 07 19:55:45 GMT 2023","18044","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
"broken","Sun May 07 19:54:23 GMT 2023","Sun May 07 19:54:56 GMT 2023","33607","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"passed","Sun May 07 19:54:37 GMT 2023","Sun May 07 19:54:53 GMT 2023","16770","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
