"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 19:57:46 GMT 2023","Sun May 07 19:58:03 GMT 2023","16506","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
"broken","Sun May 07 19:57:51 GMT 2023","Sun May 07 19:58:23 GMT 2023","32092","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"broken","Sun May 07 19:57:06 GMT 2023","Sun May 07 19:57:29 GMT 2023","22879","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"passed","Sun May 07 19:58:52 GMT 2023","Sun May 07 19:59:10 GMT 2023","17516","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
