"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 20:11:04 GMT 2023","Sun May 07 20:11:21 GMT 2023","17405","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
"broken","Sun May 07 20:10:01 GMT 2023","Sun May 07 20:10:34 GMT 2023","32654","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"broken","Sun May 07 20:09:30 GMT 2023","Sun May 07 20:09:53 GMT 2023","22775","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"passed","Sun May 07 20:10:11 GMT 2023","Sun May 07 20:10:27 GMT 2023","16568","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
