"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 20:09:56 GMT 2023","Sun May 07 20:10:13 GMT 2023","16606","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
"broken","Sun May 07 20:09:16 GMT 2023","Sun May 07 20:09:38 GMT 2023","22681","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"broken","Sun May 07 20:10:03 GMT 2023","Sun May 07 20:10:35 GMT 2023","32252","tests","test_login","TestLogin","","","Visual testing login page, should fail","Visual testing login page, should fail"
"passed","Sun May 07 20:11:05 GMT 2023","Sun May 07 20:11:22 GMT 2023","17525","tests","test_login","TestLogin","","","Visual testing login page, should pass","Visual testing login page, should pass"
